Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Harrison, D.M., Roy, S., Oh, J., Izbudak, I., Pham, D., Courtney, S., Caffo, B., Jones, C.K., Van Zijl, P., Calabresi, P.A.","26638746600;24767202200;55357351800;24481280200;7203009692;7006599723;35069047000;7408260049;7006760849;35290391600;","Association of cortical lesion burden on 7-T magnetic resonance imaging with cognition and disability in multiple sclerosis",2015,"JAMA Neurology","72","9",,"1004","1012",,113,"10.1001/jamaneurol.2015.1241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940885541&doi=10.1001%2fjamaneurol.2015.1241&partnerID=40&md5=a0872631b8314aa4d39a815deb472143",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84940885541
"Yue, C., Chen, S., Sair, H.I., Airan, R., Caffo, B.S.","56042193900;56427239900;14519858700;18633735800;35069047000;","Estimating a graphical intra-class correlation coefficient (GICC) using multivariate probit-linear mixed models",2015,"Computational Statistics and Data Analysis","89",,"6045","126","133",,1,"10.1016/j.csda.2015.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926468534&doi=10.1016%2fj.csda.2015.02.012&partnerID=40&md5=8bdddd68d0a23459931852445f99ae99",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84926468534
"Mejia, A.F., Nebel, M.B., Shou, H., Crainiceanu, C.M., Pekar, J.J., Mostofsky, S., Caffo, B., Lindquist, M.A.","56215449300;34873055300;55980755700;6603085071;7003771238;7003584880;35069047000;7007030971;","Improving reliability of subject-level resting-state fMRI parcellation with shrinkage estimators",2015,"NeuroImage","112",,,"14","29",,27,"10.1016/j.neuroimage.2015.02.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924347949&doi=10.1016%2fj.neuroimage.2015.02.042&partnerID=40&md5=45909b82bfd77912ad6bd01f589f1b7a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84924347949
"Lee, S., Caffo, B.S., Lakshmanan, B., Pham, D.L.","57201780823;35069047000;14619169100;7203009692;","Evaluating model misspecification in independent component analysis",2015,"Journal of Statistical Computation and Simulation","85","6",,"1151","1164",,,"10.1080/00949655.2013.867961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921416027&doi=10.1080%2f00949655.2013.867961&partnerID=40&md5=d866fa745801d96448287e11d60de7e4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84921416027
"Hannawi, Y., Lindquist, M.A., Caffo, B.S., Sair, H.I., Stevens, R.D.","55566291800;7007030971;35069047000;14519858700;35269994900;","Resting brain activity in disorders of consciousness: A systematic review and meta-analysis",2015,"Neurology","84","12",,"1272","1280",,96,"10.1212/WNL.0000000000001404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925398039&doi=10.1212%2fWNL.0000000000001404&partnerID=40&md5=ffd4cd41ee7d9d16728201fd2bb1b7e3",Review,"Final","All Open Access, Green",Scopus,2-s2.0-84925398039
"Ament, K., Mejia, A., Buhlman, R., Erklin, S., Caffo, B., Mostofsky, S., Wodka, E.","56295187800;56215449300;56530694700;8046854900;35069047000;7003584880;14632846000;","Evidence for Specificity of Motor Impairments in Catching and Balance in Children with Autism",2015,"Journal of Autism and Developmental Disorders","45","3",,"742","751",,96,"10.1007/s10803-014-2229-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923658848&doi=10.1007%2fs10803-014-2229-0&partnerID=40&md5=cf033357c3a8bffecff5b6b20a2f863e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84923658848
"Coughlin, J.M., Wang, Y., Munro, C.A., Ma, S., Yue, C., Chen, S., Airan, R., Kim, P.K., Adams, A.V., Garcia, C., Higgs, C., Sair, H.I., Sawa, A., Smith, G., Lyketsos, C.G., Caffo, B., Kassiou, M., Guilarte, T.R., Pomper, M.G.","8600272300;8680350200;7102387127;56042068600;56042193900;57192606399;18633735800;56042278800;56042126400;56427399400;56427727300;14519858700;7005376260;55391430300;6601923472;35069047000;7004711695;7005536141;35248909800;","Neuroinflammation and brain atrophy in former NFL players: An in vivo multimodal imaging pilot study",2015,"Neurobiology of Disease","74",,,"58","65",,157,"10.1016/j.nbd.2014.10.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912003698&doi=10.1016%2fj.nbd.2014.10.019&partnerID=40&md5=00ff4d0bada564e7af59a5d849dbe0ad",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84912003698
"Zhang, T., Wu, J., Li, F., Caffo, B., Boatman-Reich, D.","55729066800;56215215500;36642375100;35069047000;23093222600;","A Dynamic Directional Model for Effective Brain Connectivity Using Electrocorticographic (ECoG) Time Series",2015,"Journal of the American Statistical Association","110","509",,"93","106",,22,"10.1080/01621459.2014.988213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928264308&doi=10.1080%2f01621459.2014.988213&partnerID=40&md5=5f71707bd134589f4d73be02e60f08ae",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928264308
"Qiu, H., Xu, S., Han, F., Liu, H., Caffo, B.","56710878400;57189384688;55377043500;26642968600;35069047000;","Robust estimation of transition matrices in high dimensional heavy-tailed vector autoregressive processes",2015,"32nd International Conference on Machine Learning, ICML 2015","3",,,"1843","1851",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969963069&partnerID=40&md5=79392832f68b6e2f10177210472484a2",Conference Paper,"Final","",Scopus,2-s2.0-84969963069
"Qiu, H., Han, F., Liu, H., Caffo, B.","56710878400;55377043500;26642968600;35069047000;","Robust portfolio optimization",2015,"Advances in Neural Information Processing Systems","2015-January",,,"46","54",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965128373&partnerID=40&md5=b805df49169b1b0b8f7c76db88aed101",Conference Paper,"Final","",Scopus,2-s2.0-84965128373
"Gaddis, A., Rosch, K.S., Dirlikov, B., Crocetti, D., MacNeil, L., Barber, A.D., Muschelli, J., Caffo, B., Pekar, J.J., Mostofsky, S.H.","57195357761;55695634800;25924862700;26027460500;37091198000;8582425200;40462056100;35069047000;7003771238;7003584880;","Motor overflow in children with attention-deficit/hyperactivity disorder is associated with decreased extent of neural activation in the motor cortex",2015,"Psychiatry Research - Neuroimaging","233","3",,"488","495",,26,"10.1016/j.pscychresns.2015.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952639847&doi=10.1016%2fj.pscychresns.2015.08.001&partnerID=40&md5=42deb65abd5326d9b94c1f8343c3beb1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84952639847
"Ng, K.L., Gibson, E.M., Hubbard, R., Yang, J., Caffo, B., O'Brien, R.J., Krakauer, J.W., Zeiler, S.R.","56883648900;55555411000;56883871800;56328301000;35069047000;35392637400;7003596900;6507727707;","Fluoxetine maintains a state of heightened responsiveness to motor training early after stroke in a mouse model",2015,"Stroke","46","10",,"2951","2960",,61,"10.1161/STROKEAHA.115.010471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942893210&doi=10.1161%2fSTROKEAHA.115.010471&partnerID=40&md5=5469468393d4b31bffab9da469696ed2",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84942893210
"Jha, A.K., Song, N., Caffo, B., Frey, E.C.","36238167200;36617980300;35069047000;7103012762;","Objective evaluation of reconstruction methods for quantitative SPECT imaging in the absence of ground truth",2015,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE","9416",,"94161K","","",,5,"10.1117/12.2081286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932086441&doi=10.1117%2f12.2081286&partnerID=40&md5=b91f24fd73728919b855bdc8f6deefe8",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84932086441
"Yang, J., Shmuelof, L., Xiao, L., Krakauer, J.W., Caffo, B.","56328301000;8530998400;55581681200;7003596900;35069047000;","On tests of activation map dimensionality for fMRI-based studies of learning",2015,"Frontiers in Neuroscience","9","FEB","85","","",,,"10.3389/fnins.2015.00085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924428414&doi=10.3389%2ffnins.2015.00085&partnerID=40&md5=25bb51c23598b40999cbee0122ebf83b",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84924428414
"Barber, A.D., Jacobson, L.A., Wexler, J.L., Nebel, M.B., Caffo, B.S., Pekar, J.J., Mostofsky, S.H.","8582425200;56978194000;56430677800;34873055300;35069047000;7003771238;7003584880;","Connectivity supporting attention in children with attention deficit hyperactivity disorder",2015,"NeuroImage: Clinical","7",,,"68","81",,50,"10.1016/j.nicl.2014.11.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912550618&doi=10.1016%2fj.nicl.2014.11.011&partnerID=40&md5=8b32798e4b5bfa7e486c1c67d38ef5b0",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84912550618
"Zipunnikov, V., Greven, S., Shou, H., Caffo, B.S., Reich, D.S., Crainiceanu, C.M.","35232005200;23097744100;55980755700;35069047000;7102312699;6603085071;","Longitudinal high-dimensional principal components analysis with application to diffusion tensor imaging of multiple sclerosis",2014,"Annals of Applied Statistics","8","4",,"2175","2202",,23,"10.1214/14-AOAS748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919439034&doi=10.1214%2f14-AOAS748&partnerID=40&md5=0ef9b8c51bef9d8f18799005b7d2e663",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84919439034
"Shou, H., Eloyan, A., Nebel, M.B., Mejia, A., Pekar, J.J., Mostofsky, S., Caffo, B., Lindquist, M.A., Crainiceanu, C.M.","55980755700;38661178300;34873055300;56215449300;7003771238;7003584880;35069047000;7007030971;6603085071;","Shrinkage prediction of seed-voxel brain connectivity using resting state fMRI",2014,"NeuroImage","102","P2",,"938","944",,22,"10.1016/j.neuroimage.2014.05.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908410338&doi=10.1016%2fj.neuroimage.2014.05.043&partnerID=40&md5=d59c7c6a767023e56515dee063442466",Note,"Final","All Open Access, Green",Scopus,2-s2.0-84908410338
"Lindquist, M.A., Xu, Y., Nebel, M.B., Caffo, B.S.","7007030971;57198771447;34873055300;35069047000;","Evaluating dynamic bivariate correlations in resting-state fMRI: A comparison study and a new approach",2014,"NeuroImage","101",,,"531","546",,225,"10.1016/j.neuroimage.2014.06.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907022675&doi=10.1016%2fj.neuroimage.2014.06.052&partnerID=40&md5=f1cfa65c5d1ccbbf04f8cce2f041a35b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84907022675
"Shmuelof, L., Yang, J., Caffo, B., Mazzoni, P., Krakauer, J.W.","8530998400;56328301000;35069047000;7006838786;7003596900;","The neural correlates of learned motor acuity",2014,"Journal of Neurophysiology","112","4",,"971","980",,34,"10.1152/jn.00897.2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906083820&doi=10.1152%2fjn.00897.2013&partnerID=40&md5=b9b25a0ca1d3783fac5b367f4cb10aa6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84906083820
"Muschelli, J., Nebel, M.B., Caffo, B.S., Barber, A.D., Pekar, J.J., Mostofsky, S.H.","40462056100;34873055300;35069047000;8582425200;7003771238;7003584880;","Reduction of motion-related artifacts in resting state fMRI using aCompCor",2014,"NeuroImage","96",,,"22","35",,218,"10.1016/j.neuroimage.2014.03.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899895896&doi=10.1016%2fj.neuroimage.2014.03.028&partnerID=40&md5=ee9cd321d1782bbcd3a0d3e91b1ec60f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84899895896
"Schreiber, J.M., Lanham, D.C., Trescher, W.H., Sparks, S.E., Wassif, C.A., Caffo, B.S., Porter, F.D., Tierney, E., Gropman, A.L., Ewen, J.B.","57209172211;6603836913;6603587426;7006154765;6602513551;35069047000;7005479933;7006133365;6701643851;14007607000;","Variations in EEG discharges predict ADHD severity within individual Smith-Lemli-Opitz patients",2014,"Neurology","83","2",,"151","159",,11,"10.1212/WNL.0000000000000565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903935052&doi=10.1212%2fWNL.0000000000000565&partnerID=40&md5=807b577915c25d0b331938880db952a8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84903935052
"Eloyan, A., Li, S., Muschelli, J., Pekar, J.J., Mostofsky, S.H., Caffo, B.S.","38661178300;57217797574;40462056100;7003771238;7003584880;35069047000;","Analytic programming with fMRI data: A quick-start guide for statisticians using R",2014,"PLoS ONE","9","2","e89470","","",,6,"10.1371/journal.pone.0089470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896498454&doi=10.1371%2fjournal.pone.0089470&partnerID=40&md5=b6f0cb293aec55af0bfc78c4989cbccd",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84896498454
"Thom, K.A., Li, S., Custer, M., Preas, M.A., Rew, C.D., Cafeo, C., Leekha, S., Caffo, B.S., Scalea, T.M., Lissauer, M.E.","22935952200;57217797574;55963875300;6506310082;55964409600;12445194100;14623002900;35069047000;7006529703;16203238200;","Successful implementation of a unit-based quality nurse to reduce central line-associated bloodstream infections",2014,"American Journal of Infection Control","42","2",,"139","143",,12,"10.1016/j.ajic.2013.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895070048&doi=10.1016%2fj.ajic.2013.08.006&partnerID=40&md5=d4643b41c051eab60d96e59784be2c72",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84895070048
"Nebel, M.B., Joel, S.E., Muschelli, J., Barber, A.D., Caffo, B.S., Pekar, J.J., Mostofsky, S.H.","34873055300;36437394800;40462056100;8582425200;35069047000;7003771238;7003584880;","Disruption of functional organization within the primary motor cortex in children with autism",2014,"Human Brain Mapping","35","2",,"567","580",,110,"10.1002/hbm.22188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892470282&doi=10.1002%2fhbm.22188&partnerID=40&md5=bacffadaa5c73a82f092b4a9152ef32b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84892470282
"Lee, K.-J., Jones, G.L., Caffo, B.S., Bassett, S.S.","35366392300;8392084000;35069047000;7007164425;","Spatial Bayesian variable selection models on functional magnetic resonance imaging time-series data",2014,"Bayesian Analysis","9","3",,"699","732",,24,"10.1214/14-BA873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916894479&doi=10.1214%2f14-BA873&partnerID=40&md5=5dc662695aa2c8a0b9cd6b2e3122baa2",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84916894479
"Swihart, B.J., Caffo, B.S., Crainiceanu, C.M.","57196357357;35069047000;6603085071;","A unifying framework for marginalised random-intercept models of correlated binary outcomes",2014,"International Statistical Review","82","2",,"275","295",,4,"10.1111/insr.12035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905456757&doi=10.1111%2finsr.12035&partnerID=40&md5=46eff4e7672a51618afe63c3cd6a1201",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84905456757
"Coughlin, J.M., Wang, Y., Ma, S., Yue, C., Kim, P.K., Adams, A.V., Roosa, H.V., Gage, K.L., Stathis, M., Rais, R., Rojas, C., McGlothan, J.L., Watkins, C.C., Sacktor, N., Guilarte, T.R., Zhou, Y., Sawa, A., Slusher, B.S., Caffo, B., Kassiou, M., Endres, C.J., Pomper, M.G.","8600272300;8680350200;56042068600;56042193900;56042278800;56042126400;54789140900;57205262628;6602729678;26536483000;7005036009;6603436488;7203033532;12787764100;7005536141;35291190000;7005376260;7003636138;35069047000;7004711695;6701338081;35248909800;","Regional brain distribution of translocator protein using [ 11C]DPA-713 PET in individuals infected with HIV",2014,"Journal of NeuroVirology","20","3",,"219","232",,66,"10.1007/s13365-014-0239-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905407732&doi=10.1007%2fs13365-014-0239-5&partnerID=40&md5=800c02a2138b3ae03f33159f1aed0439",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84905407732
"Sidhu, G., Caffo, B.","55377353500;35069047000;","Moneybarl: Exploiting pitcher decision-making using reinforcement learning",2014,"Annals of Applied Statistics","8","2",,"926","955",,7,"10.1214/13-AOAS712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903752897&doi=10.1214%2f13-AOAS712&partnerID=40&md5=3dddb86983fe993d824568f3829934b3",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84903752897
"Risk, B.B., Matteson, D.S., Ruppert, D., Eloyan, A., Caffo, B.S.","52464444700;54904485700;7006030338;38661178300;35069047000;","An evaluation of independent component analyses with an application to resting-state fMRI",2014,"Biometrics","70","1",,"224","236",,18,"10.1111/biom.12111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895885091&doi=10.1111%2fbiom.12111&partnerID=40&md5=647224f0a2617948b227305f308e9005",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84895885091
"Bobb, J.F., Schwartz, B.S., Davatzikos, C., Caffo, B.","37064447600;55663268300;7005310126;35069047000;","Cross-sectional and longitudinal association of body mass index and brain volume",2014,"Human Brain Mapping","35","1",,"75","88",,72,"10.1002/hbm.22159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889650109&doi=10.1002%2fhbm.22159&partnerID=40&md5=e84c6c61d71e1e8745072dfbed6f1716",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84889650109
"Griswold, M.E., Swihart, B.J., Caffo, B.S., Zeger, S.L.","7102709853;57196357357;35069047000;7006338489;","Practical marginalized multilevel models",2013,"Stat","2","1",,"129","142",,14,"10.1002/sta4.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905499222&doi=10.1002%2fsta4.22&partnerID=40&md5=2c4deb8a8cc1e174539c1b9abd252fda",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84905499222
"Choi, L., Crainiceanu, C.M., Caffo, B.S.","16028029100;6603085071;35069047000;","Practical recommendations for population PK studies with sampling time errors",2013,"European Journal of Clinical Pharmacology","69","12",,"2055","2064",,9,"10.1007/s00228-013-1576-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892369834&doi=10.1007%2fs00228-013-1576-7&partnerID=40&md5=ded8809f3cdcf48a62fbff9e273953e7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84892369834
"Shou, H., Eloyan, A., Lee, S., Zipunnikov, V., Crainiceanu, A.N., Nebel, M.B., Caffo, B., Lindquist, M.A., Crainiceanu, C.M.","55980755700;38661178300;57201780823;35232005200;8230877900;34873055300;35069047000;7007030971;6603085071;","Quantifying the reliability of image replication studies: The image intraclass correlation coefficient (I2C2)",2013,"Cognitive, Affective and Behavioral Neuroscience","13","4",,"714","724",,55,"10.3758/s13415-013-0196-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891454795&doi=10.3758%2fs13415-013-0196-0&partnerID=40&md5=5e8d2b83f0b255c3b230367f5a4ead32",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84891454795
"Leyva, F.J., Bakshi, R.P., Fuchs, E.J., Li, L., Caffo, B.S., Goldsmith, A.J., Ventuneac, A., Carballo-Diéguez, A., Du, Y., Leal, J.P., Lee, L.A., Torbenson, M.S., Hendrix, C.W.","36911063200;7101714682;55487055800;55480399100;35069047000;55272334900;6504748626;6603962651;8680350400;7102123078;35083850700;7004312220;57226252489;","Isoosmolar Enemas Demonstrate Preferential Gastrointestinal Distribution, Safety, and Acceptability Compared with Hyperosmolar and Hypoosmolar Enemas as a Potential Delivery Vehicle for Rectal Microbicides",2013,"AIDS Research and Human Retroviruses","29","11",,"1487","1495",,37,"10.1089/aid.2013.0189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886689213&doi=10.1089%2faid.2013.0189&partnerID=40&md5=29804d826f65651ba49502b7ce297689",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84886689213
"Lindquist, M.A., Caffo, B., Crainiceanu, C.","7007030971;35069047000;6603085071;","Ironing out the statistical wrinkles in ""ten ironic rules""",2013,"NeuroImage","81",,,"499","502",,39,"10.1016/j.neuroimage.2013.02.056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880812523&doi=10.1016%2fj.neuroimage.2013.02.056&partnerID=40&md5=40ac4495409c5d9f0a791b5499eb5034",Note,"Final","All Open Access, Green",Scopus,2-s2.0-84880812523
"Shinohara, R.T., Crainiceanu, C.S., Caffo, B.S., Reich, D.S.","39262570100;6603085071;35069047000;7102312699;","Information criteria for dynamic contrast-enhanced magnetic resonance imaging",2013,"Proceedings - 2013 3rd International Workshop on Pattern Recognition in Neuroimaging, PRNI 2013",,,"6603551","37","41",,,"10.1109/PRNI.2013.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885234078&doi=10.1109%2fPRNI.2013.19&partnerID=40&md5=6c65b2d9fdf4d08bea11629ee16f8242",Conference Paper,"Final","",Scopus,2-s2.0-84885234078
"Lee, S., Zipunnikov, V., Shiee, N., Crainiceanu, C., Caffo, B.S., Pham, D.L.","57201780823;35232005200;35189612000;6603085071;35069047000;7203009692;","Clustering of high dimensional longitudinal imaging data",2013,"Proceedings - 2013 3rd International Workshop on Pattern Recognition in Neuroimaging, PRNI 2013",,,"6603550","33","36",,1,"10.1109/PRNI.2013.18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885200378&doi=10.1109%2fPRNI.2013.18&partnerID=40&md5=2a94a22275e892109c49af7caebbe7b4",Conference Paper,"Final","",Scopus,2-s2.0-84885200378
"Leekha, S., Li, S., Thom, K.A., Anne Preas, M., Caffo, B.S., Morgan, D.J., Harris, A.D.","14623002900;57217797574;22935952200;55813244400;35069047000;14039408700;7404040049;","Comparison of total hospital-acquired bloodstream infections to central line-associated bloodstream infections and implications for outcome measures in infection control",2013,"Infection Control and Hospital Epidemiology","34","9",,"984","986",,9,"10.1086/671730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881182926&doi=10.1086%2f671730&partnerID=40&md5=5a3757da7ff0320a3704b7f77064d508",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84881182926
"Langrock, R., Swihart, B.J., Caffo, B.S., Punjabi, N.M., Crainiceanu, C.M.","36163210600;57196357357;35069047000;7004869128;6603085071;","Combining hidden Markov models for comparing the dynamics of multiple sleep electroencephalograms",2013,"Statistics in Medicine","32","19",,"3342","3356",,25,"10.1002/sim.5747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880322978&doi=10.1002%2fsim.5747&partnerID=40&md5=ee7b7b6fcac2e96d40fc9771a677747a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84880322978
"Eloyan, A., Crainiceanu, C.M., Caffo, B.S.","38661178300;6603085071;35069047000;","Likelihood-based population independent component analysis",2013,"Biostatistics","14","3",,"514","527",,10,"10.1093/biostatistics/kxs055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879102276&doi=10.1093%2fbiostatistics%2fkxs055&partnerID=40&md5=cb4fa3f975fa9e1915aecdfa5eccedd5",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84879102276
"Caffo, B., Lauzon, C., Röhmel, J.","35069047000;36711923300;56008556200;","Correction to ""Easy Multiplicity Control in Equivalence Testing Using Two One-Sided Tests""",2013,"American Statistician","67","2",,"115","116",,4,"10.1080/00031305.2012.760487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878450467&doi=10.1080%2f00031305.2012.760487&partnerID=40&md5=608d643f273f6902b4408a10423aa54a",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84878450467
"Ozturk, A., Aygun, N., Smith, S.A., Caffo, B., Calabresi, P.A., Reich, D.S.","7103003522;8563365900;55414050800;35069047000;35290391600;7102312699;","Axial 3D gradient-echo imaging for improved multiple sclerosis lesion detection in the cervical spinal cord at 3T",2013,"Neuroradiology","55","4",,"431","439",,30,"10.1007/s00234-012-1118-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879690444&doi=10.1007%2fs00234-012-1118-5&partnerID=40&md5=ecf7c0f10bdbb6f3ada6a591eb0fc939",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84879690444
"Lauzon, C.B., Crainiceanu, C., Caffo, B.C., Landman, B.A.","36711923300;6603085071;35069047000;16679175200;","Assessment of bias in experimentally measured diffusion tensor imaging parameters using SIMEX",2013,"Magnetic Resonance in Medicine","69","3",,"891","902",,10,"10.1002/mrm.24324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874386900&doi=10.1002%2fmrm.24324&partnerID=40&md5=3753911af15dc68de178af18415431fd",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84874386900
"Crainiceanu, C.M., Caffo, B.S., Morris, J.S.","6603085071;35069047000;7405897451;","Multilevel functional data analysis",2013,"The SAGE Handbook of Multilevel Modeling",,,,"223","248",,1,"10.4135/9781446247600.n13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949803606&doi=10.4135%2f9781446247600.n13&partnerID=40&md5=190ad465d98ed5ab0b1fb372705f160e",Book Chapter,"Final","",Scopus,2-s2.0-84949803606
"Boca, S.M., Bravo, H.C., Caffo, B., Leek, J.T., Parmigiani, G.","21740680900;8965038100;35069047000;8558142900;7003983915;","A Decision-Theory Approach to Interpretable Set Analysis for High-Dimensional Data",2013,"Biometrics","69","3",,"614","623",,4,"10.1111/biom.12060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901190935&doi=10.1111%2fbiom.12060&partnerID=40&md5=a990417b06d3425c8092abe750c7d6cb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84901190935
"Barber, A.D., Caffo, B.S., Pekar, J.J., Mostofsky, S.H.","8582425200;35069047000;7003771238;7003584880;","Effects of working memory demand on neural mechanisms of motor response selection and control",2013,"Journal of Cognitive Neuroscience","25","8",,"1235","1248",,37,"10.1162/jocn_a_00394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879985986&doi=10.1162%2fjocn_a_00394&partnerID=40&md5=b4c7cff1463f2efdc1ee1b3757e39e03",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84879985986
"Cervenka, M.C., Franaszczuk, P.J., Crone, N.E., Hong, B., Caffo, B.S., Bhatt, P., Lenz, F.A., Boatman-Reich, D.","8323061600;6701326855;6603727775;7202125896;35069047000;55279515400;35402292000;23093222600;","Reliability of early cortical auditory gamma-band responses",2013,"Clinical Neurophysiology","124","1",,"70","82",,18,"10.1016/j.clinph.2012.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871443618&doi=10.1016%2fj.clinph.2012.06.003&partnerID=40&md5=d314abcca754c59d5a954e3bea33c066",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84871443618
"Barber, A.D., Caffo, B.S., Pekar, J.J., Mostofsky, S.H.","8582425200;35069047000;7003771238;7003584880;","Developmental changes in within- and between-network connectivity between late childhood and adulthood",2013,"Neuropsychologia","51","1",,"156","167",,96,"10.1016/j.neuropsychologia.2012.11.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871398014&doi=10.1016%2fj.neuropsychologia.2012.11.011&partnerID=40&md5=7505253d45825b2511466c5b3b921fd2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84871398014
"Bai, J., Goldsmith, J., Caffo, B., Glass, T.A., Crainiceanu, C.M.","55631494200;56203281700;35069047000;7102302169;6603085071;","Movelets: A dictionary of movement",2012,"Electronic Journal of Statistics","6",,,"559","578",,24,"10.1214/12-EJS684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875383577&doi=10.1214%2f12-EJS684&partnerID=40&md5=ec796a3307a4c8f93c3a354c31f8a19c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84875383577
